Currency,Date,"Exchange Rate"
AED,2024-10-23,79.8409
AED,2024-10-22,79.7983
AED,2024-10-21,79.7357
AED,2024-10-18,79.7701
AED,2024-10-16,79.9579
AED,2024-10-15,79.7384
AED,2024-10-14,79.7320
AED,2024-10-11,79.8028
AED,2024-10-10,79.7488
AED,2024-10-09,79.8696
AED,2024-10-08,79.9204
AED,2024-10-07,79.9842
AED,2024-10-04,80.4433
AED,2024-10-03,80.2949
AED,2024-10-02,80.4840
AED,2024-10-01,80.9125
AED,2024-09-30,81.5019
AED,2024-09-27,81.7368
AED,2024-09-26,82.1572
AED,2024-09-25,82.7421
AED,2024-09-24,82.8820
AED,2024-09-23,83.0093
AED,2024-09-20,82.9171
AED,2024-09-19,82.7449
AED,2024-09-18,82.0041
AED,2024-09-13,82.1677
AED,2024-09-12,81.8866
AED,2024-09-11,81.8768
AED,2024-09-10,81.6985
AED,2024-09-09,81.3218
AED,2024-09-06,81.3705
AED,2024-09-05,81.3892
AED,2024-09-04,81.4526
AED,2024-09-03,81.4079
AED,2024-09-02,81.5685
AED,2024-08-30,81.7696
AED,2024-08-29,81.8666
AED,2024-08-28,81.8748
AED,2024-08-27,81.8415
AED,2024-08-26,81.8133
AED,2024-08-23,81.9882
AED,2024-08-22,81.6734
AED,2024-08-21,81.4747
AED,2024-08-20,81.3180
AED,2024-08-16,81.3788
AED,2024-08-15,81.4806
AED,2024-08-14,81.4669
AED,2024-08-13,81.5858
AED,2024-08-12,81.7862
AED,2024-08-09,82.0130
AED,2024-08-08,82.1801
AED,2024-08-07,82.3129
AED,2024-08-06,82.2780
AED,2024-08-05,82.2458
AED,2024-08-02,82.3582
AED,2024-08-01,82.3439
AED,2024-07-31,82.3236
AED,2024-07-30,82.4624
AED,2024-07-29,82.5472
AED,2024-07-26,82.6627
AED,2024-07-25,82.6475
AED,2024-07-24,82.7309
AED,2024-07-23,82.6934
AED,2024-07-22,82.6833
AED,2024-07-19,82.7636
AED,2024-07-18,82.7230
AED,2024-07-17,82.5820
AED,2024-07-16,82.0854
AED,2024-07-15,82.2741
AED,2024-07-12,82.5836
AED,2024-07-11,82.6999
AED,2024-07-10,82.8221
AED,2024-07-09,82.8951
AED,2024-07-08,83.0066
AED,2024-07-05,82.9152
AED,2024-07-04,82.7812
AED,2024-07-03,82.6364
AED,2024-07-02,83.2626
AED,2024-07-01,83.3156
AED,2024-06-28,83.2307
AED,2024-06-27,83.1310
AED,2024-06-26,83.1482
AED,2024-06-25,83.1257
AED,2024-06-24,83.1555
AED,2024-06-20,83.1131
AED,2024-06-19,82.8806
AED,2024-06-18,82.7525
AED,2024-06-14,82.7190
AED,2024-06-13,82.6937
AED,2024-06-12,82.6177
AED,2024-06-11,82.5023
AED,2024-06-10,82.4114
AED,2024-06-07,82.4144
AED,2024-06-06,82.3016
AED,2024-06-05,82.2681
AED,2024-06-04,82.2064
AED,2024-06-03,82.1929
AED,2024-05-31,82.1912
AED,2024-05-30,82.0882
AED,2024-05-29,82.0222
AED,2024-05-28,81.7897
AED,2024-05-27,81.6734
AED,2024-05-22,81.6079
AED,2024-05-21,81.6299
AED,2024-05-20,81.6432
AED,2024-05-17,82.0332
AED,2024-05-16,82.2924
AED,2024-05-15,81.9064
AED,2024-05-14,81.6487
AED,2024-05-13,81.3472
AED,2024-05-10,81.3068
AED,2024-05-09,81.3261
AED,2024-05-08,81.5771
AED,2024-05-07,81.0644
AED,2024-05-06,80.8989
AED,2024-05-03,80.8068
AED,2024-05-02,81.0286
AED,2024-04-30,80.8212
AED,2024-04-29,80.6434
AED,2024-04-26,80.9069
AED,2024-04-25,81.3298
AED,2024-04-24,82.0794
AED,2024-04-22,82.2283
AED,2024-04-19,82.0308
AED,2024-04-18,81.9341
AED,2024-04-17,81.6384
AED,2024-04-16,81.3913
AED,2024-04-15,81.2788
AED,2024-04-10,81.3286
AED,2024-04-09,81.4044
AED,2024-04-08,81.5164
AED,2024-04-05,81.6399
AED,2024-04-04,81.6574
AED,2024-04-03,81.6793
AED,2024-04-02,81.7302
AED,2024-04-01,81.8016
AED,2024-03-28,82.0150
AED,2024-03-27,82.2489
AED,2024-03-26,82.4429
AED,2024-03-25,82.6567
AED,2024-03-22,82.7601
AED,2024-03-21,82.8680
AED,2024-03-20,82.7707
AED,2024-03-19,82.9486
AED,2024-03-18,83.1104
AED,2024-03-15,83.2230
AED,2024-03-14,83.3841
AED,2024-03-13,83.4694
AED,2024-03-12,83.5910
AED,2024-03-11,83.7357
AED,2024-03-07,83.8081
AED,2024-03-06,83.8489
AED,2024-03-05,83.8868
AED,2024-03-04,84.1639
AED,2024-03-01,84.3721
AED,2024-02-29,84.4425
AED,2024-02-28,84.6037
AED,2024-02-27,84.6075
AED,2024-02-26,84.7042
AED,2024-02-22,84.8548
AED,2024-02-21,84.9536
AED,2024-02-20,85.0186
AED,2024-02-19,85.0661
AED,2024-02-16,85.1897
AED,2024-02-15,85.2652
AED,2024-02-14,85.3342
AED,2024-02-13,85.2842
AED,2024-02-12,85.2280
AED,2024-02-09,85.3762
AED,2024-02-08,85.2767
AED,2024-02-07,85.4980
AED,2024-02-06,85.0109
AED,2024-02-05,84.7844
AED,2024-02-02,85.4946
AED,2024-02-01,86.0703
AED,2024-01-31,86.4192
AED,2024-01-30,86.5646
AED,2024-01-29,86.4443
AED,2024-01-26,86.8957
AED,2024-01-24,87.1062
AED,2024-01-23,87.1368
AED,2024-01-22,87.2651
AED,2024-01-19,87.3625
AED,2024-01-18,87.4556
AED,2024-01-17,87.5972
AED,2024-01-16,87.7246
AED,2024-01-12,87.8566
AED,2024-01-11,87.8951
AED,2024-01-10,87.8422
AED,2024-01-09,87.7853
AED,2024-01-08,87.7927
AED,2024-01-05,87.7891
AED,2024-01-04,87.7374
AED,2024-01-03,87.4331
AED,2024-01-02,87.9945
AED,2024-01-01,88.2134
AED,2023-12-29,88.1952
AED,2023-12-28,88.2778
AED,2023-12-27,88.6949
AED,2023-12-22,88.8589
AED,2023-12-21,89.0239
AED,2023-12-20,89.0221
AED,2023-12-19,89.0149
AED,2023-12-18,89.0314
AED,2023-12-15,88.9575
AED,2023-12-14,88.9776
AED,2023-12-13,89.0665
AED,2023-12-12,89.0918
AED,2023-12-11,89.0239
AED,2023-12-08,88.9285
AED,2023-12-07,89.0767
AED,2023-12-06,89.3172
AED,2023-12-05,89.3234
AED,2023-12-04,89.3081
AED,2023-12-01,89.1913
AED,2023-11-30,89.5963
AED,2023-11-29,89.7233
AED,2023-11-28,89.5760
AED,2023-11-27,89.5117
AED,2023-11-24,89.5040
AED,2023-11-23,89.4346
AED,2023-11-22,89.4070
AED,2023-11-21,89.3277
AED,2023-11-20,89.2800
AED,2023-11-17,89.3227
AED,2023-11-16,89.4783
AED,2023-11-15,89.1272
AED,2023-11-14,89.0004
AED,2023-11-13,89.0782
AED,2023-11-10,89.4258
AED,2023-11-09,89.4119
AED,2023-11-08,89.0605
AED,2023-11-07,89.2284
AED,2023-11-06,89.5664
AED,2023-11-03,89.5869
AED,2023-11-02,89.3096
AED,2023-11-01,89.1961
AED,2023-10-31,89.1320
AED,2023-10-30,89.0634
AED,2023-10-27,88.8895
AED,2023-10-26,88.9095
AED,2023-10-25,89.0594
AED,2023-10-24,88.7314
AED,2023-10-23,88.4835
AED,2023-10-20,88.4742
AED,2023-10-19,88.3147
AED,2023-10-18,88.2506
AED,2023-10-17,88.1879
AED,2023-10-16,88.1732
AED,2023-10-13,88.1562
AED,2023-10-12,88.1699
AED,2023-10-11,88.1567
AED,2023-10-10,88.1031
AED,2023-10-09,88.1032
AED,2023-10-06,88.1281
AED,2023-10-05,88.1493
AED,2023-10-04,88.1474
AED,2023-10-03,88.1544
AED,2023-10-02,88.0773
AED,2023-09-27,88.3332
AED,2023-09-26,88.3746
AED,2023-09-25,88.3328
AED,2023-09-22,88.3779
AED,2023-09-21,88.4022
AED,2023-09-20,88.2113
AED,2023-09-19,88.1320
AED,2023-09-18,88.0411
AED,2023-09-15,88.0406
AED,2023-09-14,88.0395
AED,2023-09-13,87.7756
AED,2023-09-12,87.7415
AED,2023-09-11,87.5754
AED,2023-09-08,87.7698
AED,2023-09-07,87.6630
AED,2023-09-06,87.6662
AED,2023-09-05,87.2227
AED,2023-09-04,86.9176
AED,2023-09-01,87.0238
AED,2023-08-31,87.8450
AED,2023-08-29,88.1842
AED,2023-08-28,88.1739
AED,2023-08-25,88.2273
AED,2023-08-24,88.2056
AED,2023-08-23,88.1912
AED,2023-08-22,88.1960
AED,2023-08-21,88.0100
AED,2023-08-18,87.6285
AED,2023-08-17,87.4204
AED,2023-08-16,87.4460
AED,2023-08-15,87.3796
AED,2023-08-14,87.1196
AED,2023-08-11,87.1248
AED,2023-08-10,87.1952
AED,2023-08-09,87.4219
AED,2023-08-08,87.5319
AED,2023-08-07,86.6962
AED,2023-08-04,86.7009
AED,2023-08-03,85.5128
AED,2023-08-02,88.3858
AED,2023-07-31,89.6672
AED,2023-07-28,89.6489
AED,2023-07-27,89.6788
AED,2023-07-26,89.6884
AED,2023-07-25,89.5750
AED,2023-07-24,88.9624
AED,2023-07-21,88.5411
AED,2023-07-20,88.2769
AED,2023-07-19,87.8101
AED,2023-07-18,87.8911
AED,2023-07-17,86.8828
AED,2023-07-14,86.1277
AED,2023-07-13,85.6508
AED,2023-07-12,85.4651
AED,2023-07-11,85.1558
AED,2023-07-10,84.8122
AED,2023-07-07,83.9107
AED,2023-07-06,83.5834
AED,2023-07-05,83.3795
AED,2023-07-04,83.8914
AED,2023-06-28,84.0788
AED,2023-06-27,83.8859
AED,2023-06-26,83.5852
AED,2023-06-23,83.5727
AED,2023-06-22,83.5594
AED,2023-06-21,83.3469
AED,2023-06-20,83.2920
AED,2023-06-19,84.1842
AED,2023-06-16,85.4432
AED,2023-06-15,83.9912
AED,2023-06-14,82.5532
AED,2023-06-13,81.7952
AED,2023-06-12,80.6569
AED,2023-06-09,79.8301
AED,2023-06-08,79.2182
AED,2023-06-07,79.2865
AED,2023-06-06,79.3763
AED,2023-06-05,79.5868
AED,2023-06-02,79.5725
AED,2023-06-01,79.6253
AED,2023-05-31,80.4599
AED,2023-05-30,80.7822
AED,2023-05-29,81.4508
AED,2023-05-26,82.5255
AED,2023-05-25,82.5849
AED,2023-05-24,82.9744
AED,2023-05-23,83.2971
AED,2023-05-22,83.6202
AED,2023-05-19,83.2790
AED,2023-05-18,83.7054
AED,2023-05-17,84.5304
AED,2023-05-16,85.1344
AED,2023-05-15,85.3042
AED,2023-05-12,85.4108
AED,2023-05-11,86.2371
AED,2023-05-10,86.6226
AED,2023-05-09,86.7367
AED,2023-05-08,86.9895
AED,2023-05-04,87.1297
AED,2023-05-03,87.3819
AED,2023-05-02,87.5295
AED,2023-04-28,87.5858
AED,2023-04-27,87.5834
AED,2023-04-26,87.6169
AED,2023-04-25,87.6290
AED,2023-04-24,87.5766
AED,2023-04-21,87.4485
AED,2023-04-20,87.3313
AED,2023-04-19,87.3625
AED,2023-04-18,87.1187
AED,2023-04-17,87.0222
AED,2023-04-12,87.0956
AED,2023-04-11,87.0863
AED,2023-04-10,87.1223
AED,2023-04-06,87.4445
AED,2023-04-04,88.1596
AED,2023-04-03,89.1715
AED,2023-03-31,89.1083
AED,2023-03-30,88.6654
AED,2023-03-29,87.8507
AED,2023-03-28,87.1257
AED,2023-03-27,87.2971
AED,2023-03-24,86.7620
AED,2023-03-23,86.3927
AED,2023-03-22,87.6370
AED,2023-03-21,91.2333
AED,2023-03-20,91.2860
AED,2023-03-17,91.7012
AED,2023-03-16,91.8289
AED,2023-03-15,89.0473
AED,2023-03-14,87.9285
AED,2023-03-13,86.8833
AED,2023-03-10,86.7477
AED,2023-03-09,86.9997
AED,2023-03-08,88.9259
AED,2023-03-07,91.9303
AED,2023-03-03,94.2453
AED,2023-03-02,96.2822
AED,2023-03-01,97.5904
AED,2023-02-28,98.4541
AED,2023-02-27,98.6900
AED,2023-02-24,98.7362
AED,2023-02-23,98.4618
AED,2023-02-22,98.4622
AED,2023-02-21,98.5326
AED,2023-02-20,98.5326
AED,2023-02-17,98.5326
AED,2023-02-16,98.5326
AED,2023-02-15,98.5326
AED,2023-02-14,98.5326
AED,2023-02-13,98.5326
AED,2023-02-10,98.5333
AED,2023-02-09,98.5333
AED,2023-02-08,98.5435
AED,2023-02-07,98.5435
AED,2023-02-06,98.5432
AED,2023-02-03,98.5458
AED,2023-02-02,98.5925
AED,2023-02-01,98.5925
AED,2023-01-31,98.5925
AED,2023-01-30,98.5925
AED,2023-01-27,98.5925
AED,2023-01-26,98.5925
AED,2023-01-25,98.5979
AED,2023-01-24,98.5979
AED,2023-01-23,98.5979
AED,2023-01-20,98.6005
AED,2023-01-19,98.6278
AED,2023-01-18,98.6197
AED,2023-01-17,98.6197
AED,2023-01-13,98.6224
AED,2023-01-12,98.6197
AED,2023-01-11,98.6251
AED,2023-01-10,98.6236
AED,2023-01-09,98.8543
AED,2023-01-05,98.8592
AED,2023-01-04,98.8592
AED,2023-01-03,98.8673
AED,2023-01-02,98.8700
AED,2022-12-30,98.8700
AED,2022-12-29,98.8701
AED,2022-12-28,98.8654
AED,2022-12-27,98.8592
AED,2022-12-23,98.8765
AED,2022-12-22,98.8729
AED,2022-12-21,98.8729
AED,2022-12-20,98.8786
AED,2022-12-19,98.8810
AED,2022-12-16,98.8837
AED,2022-12-15,98.8756
AED,2022-12-14,98.8756
AED,2022-12-13,98.8756
AED,2022-12-12,98.8756
AED,2022-12-09,98.8756
AED,2022-12-08,98.8756
AED,2022-12-06,98.8756
AED,2022-12-05,98.8747
AED,2022-12-02,98.8783
AED,2022-12-01,98.8783
AED,2022-11-30,98.8777
AED,2022-11-29,98.8777
AED,2022-11-28,98.8266
AED,2022-11-25,98.8266
AED,2022-11-24,98.9627
AED,2022-11-23,98.9627
AED,2022-11-22,98.9627
AED,2022-11-21,98.9627
AED,2022-11-18,98.9627
AED,2022-11-17,98.9627
AED,2022-11-16,98.9627
AED,2022-11-15,98.9627
AED,2022-11-14,98.9627
AED,2022-11-11,98.9627
AED,2022-11-10,98.9627
AED,2022-11-09,98.9627
AED,2022-11-08,98.9627
AED,2022-11-04,98.9627
AED,2022-11-03,98.9083
AED,2022-11-02,98.9083
AED,2022-11-01,98.9083
AED,2022-10-31,98.9083
AED,2022-10-28,98.9083
AED,2022-10-27,98.9083
AED,2022-10-26,98.9083
AED,2022-10-25,98.9301
AED,2022-10-21,98.9301
AED,2022-10-20,98.9301
AED,2022-10-19,98.9301
AED,2022-10-18,98.9301
AED,2022-10-17,98.9301
AED,2022-10-14,98.8647
AED,2022-10-13,98.7994
AED,2022-10-12,98.7994
AED,2022-10-11,98.7994
AED,2022-10-07,98.7994
AED,2022-10-06,98.7994
AED,2022-10-05,98.7994
AED,2022-10-04,98.7994
AED,2022-10-03,98.7994
AED,2022-09-30,98.7994
AED,2022-09-29,98.7994
AED,2022-09-28,98.7994
AED,2022-09-27,98.7994
AED,2022-09-26,98.7994
AED,2022-09-23,98.7994
AED,2022-09-22,98.7994
AED,2022-09-21,98.7994
AED,2022-09-20,98.7994
AED,2022-09-19,98.7994
AED,2022-09-16,98.7994
AED,2022-09-15,98.6769
AED,2022-09-14,98.6769
AED,2022-09-13,98.6312
AED,2022-09-12,98.6088
AED,2022-09-09,98.5544
AED,2022-09-08,98.5271
AED,2022-09-07,98.5014
AED,2022-09-06,98.4046
AED,2022-09-05,98.4046
AED,2022-09-02,98.4046
AED,2022-09-01,98.3035
AED,2022-08-31,98.3224
AED,2022-08-30,98.3611
AED,2022-08-29,98.3284
AED,2022-08-26,98.3910
AED,2022-08-25,98.2821
AED,2022-08-24,98.2821
AED,2022-08-23,98.2821
AED,2022-08-22,98.2676
AED,2022-08-19,98.2821
AED,2022-08-18,98.2748
AED,2022-08-17,98.2712
AED,2022-08-16,98.2748
AED,2022-08-15,98.2603
AED,2022-08-12,98.2413
AED,2022-08-10,98.2658
AED,2022-08-09,98.2658
AED,2022-08-08,98.2277
AED,2022-08-05,98.2277
AED,2022-08-04,98.2618
AED,2022-08-03,98.2618
AED,2022-08-02,98.2821
AED,2022-08-01,98.2821
AED,2022-07-29,98.2277
AED,2022-07-28,98.2821
AED,2022-07-27,98.2821
AED,2022-07-26,98.2821
AED,2022-07-25,98.3066
AED,2022-07-22,98.3638
AED,2022-07-21,98.4645
AED,2022-07-20,98.5190
AED,2022-07-19,98.3272
AED,2022-07-18,98.2911
AED,2022-07-15,98.3474
AED,2022-07-14,98.5271
AED,2022-07-12,98.2562
AED,2022-07-11,98.3774
AED,2022-07-08,98.1051
AED,2022-07-07,98.2331
AED,2022-07-06,97.9600
AED,2022-07-05,97.9538
AED,2022-07-04,97.9538
AED,2022-07-01,97.8873
AED,2022-06-30,97.9767
AED,2022-06-29,97.9336
AED,2022-06-28,97.9826
AED,2022-06-27,98.0915
AED,2022-06-24,98.0915
AED,2022-06-23,98.2549
AED,2022-06-22,98.2562
AED,2022-06-21,98.4876
AED,2022-06-20,98.2154
AED,2022-06-17,97.9431
AED,2022-06-16,97.9704
AED,2022-06-15,97.9704
AED,2022-06-13,97.9659
AED,2022-06-10,97.9567
AED,2022-06-09,98.0181
AED,2022-06-08,98.0181
AED,2022-06-07,98.0867
AED,2022-06-06,98.0867
AED,2022-06-03,98.0929
AED,2022-06-02,98.1745
AED,2022-06-01,98.0415
AED,2022-05-31,98.2181
AED,2022-05-30,98.2181
AED,2022-05-27,97.8070
AED,2022-05-26,97.9317
AED,2022-05-25,97.8414
AED,2022-05-24,97.8414
AED,2022-05-23,97.8580
AED,2022-05-20,97.8683
AED,2022-05-19,97.8887
AED,2022-05-18,97.9159
AED,2022-05-17,97.9431
AED,2022-05-13,98.0112
AED,2022-05-12,98.0112
AED,2022-05-11,99.3071
AED,2022-05-10,99.3071
AED,2022-05-09,99.3071
AED,2022-05-06,97.6215
AED,2022-05-05,95.2614
AED,2022-05-04,92.5661
AED,2022-04-29,93.0698
AED,2022-04-28,93.0698
AED,2022-04-27,91.9944
AED,2022-04-26,92.6927
AED,2022-04-25,91.1492
AED,2022-04-22,91.1504
AED,2022-04-21,91.2049
AED,2022-04-20,84.3985
AED,2022-04-19,84.3985
AED,2022-04-18,85.3977
AED,2022-04-12,85.3977
AED,2022-04-11,84.8545
AED,2022-04-08,81.4037
AED,2022-04-07,81.6249
AED,2022-04-06,83.7966
AED,2022-04-05,83.7966
AED,2022-04-04,84.6319
AED,2022-04-01,81.4037
AED,2022-03-31,81.4037
AED,2022-03-30,83.3312
AED,2022-03-29,80.3105
AED,2022-03-28,80.3105
AED,2022-03-25,78.9535
AED,2022-03-24,76.2309
AED,2022-03-23,76.3453
AED,2022-03-22,76.2309
AED,2022-03-21,74.8697
AED,2022-03-18,72.9304
AED,2022-03-16,72.9263
AED,2022-03-15,71.6925
AED,2022-03-14,68.5993
AED,2022-03-11,68.5993
AED,2022-03-10,62.4374
AED,2022-03-09,62.4821
AED,2022-03-08,55.0199
AED,2022-03-07,55.0053
AED,2022-03-04,54.8946
AED,2022-03-03,54.9944
AED,2022-03-02,54.9674
AED,2022-02-28,54.7385
AED,2022-02-25,55.0850
AED,2022-02-24,54.7749
AED,2022-02-23,54.7749
AED,2022-02-22,54.9952
AED,2022-02-21,54.9761
AED,2022-02-18,55.0262
AED,2022-02-17,54.9985
AED,2022-02-15,54.7229
AED,2022-02-14,54.7268
AED,2022-02-11,54.9952
AED,2022-02-10,54.9853
AED,2022-02-09,55.0131
AED,2022-02-08,55.1065
AED,2022-02-07,54.9944
AED,2022-02-03,54.8817
AED,2022-02-02,54.8374
AED,2022-02-01,54.9870
AED,2022-01-31,54.7749
AED,2022-01-28,54.7749
AED,2022-01-27,54.9952
AED,2022-01-26,54.8831
AED,2022-01-25,55.0040
AED,2022-01-24,54.9952
AED,2022-01-21,55.1994
AED,2022-01-20,54.7373
AED,2022-01-19,54.9800
AED,2022-01-18,54.9800
AED,2022-01-13,54.9365
AED,2022-01-12,54.7174
AED,2022-01-11,54.7079
AED,2022-01-10,54.9675
AED,2022-01-07,54.8140
AED,2022-01-06,54.7360
AED,2022-01-05,54.9157
AED,2022-01-04,54.4507
AED,2022-01-03,54.5688
AED,2021-12-31,54.5688
AED,2021-12-30,55.2674
AED,2021-12-29,54.7229
AED,2021-12-28,54.8599
AED,2021-12-27,54.7006
AED,2021-12-24,54.7006
AED,2021-12-23,54.6476
AED,2021-12-22,54.8104
AED,2021-12-21,54.8610
AED,2021-12-20,55.2667
AED,2021-12-17,54.8687
AED,2021-12-16,54.6328
AED,2021-12-15,54.9598
AED,2021-12-14,54.9598
AED,2021-12-13,54.8119
AED,2021-12-10,54.7386
AED,2021-12-09,54.7827
AED,2021-12-08,54.8840
AED,2021-12-07,54.4526
AED,2021-12-06,55.0625
AED,2021-12-03,54.5712
AED,2021-12-02,54.9763
AED,2021-12-01,55.0073
AED,2021-11-30,55.0073
AED,2021-11-29,54.9286
AED,2021-11-26,54.7802
AED,2021-11-25,54.7146
AED,2021-11-24,54.6617
AED,2021-11-23,55.1086
AED,2021-11-22,55.0496
AED,2021-11-19,55.0474
AED,2021-11-17,54.8162
AED,2021-11-16,55.0088
AED,2021-11-15,55.0088
AED,2021-11-12,55.0899
AED,2021-11-11,54.8343
AED,2021-11-10,55.0984
AED,2021-11-09,55.0086
AED,2021-11-08,54.5337
AED,2021-11-05,55.1637
AED,2021-11-03,55.1452
AED,2021-11-02,55.1297
AED,2021-11-01,54.9801
AED,2021-10-29,54.9584
AED,2021-10-28,54.4576
AED,2021-10-27,55.0506
AED,2021-10-26,55.2659
AED,2021-10-25,54.9892
AED,2021-10-22,54.7338
AED,2021-10-21,54.5885
AED,2021-10-18,54.4745
AED,2021-10-15,54.7895
AED,2021-10-14,54.4497
AED,2021-10-13,54.4492
AED,2021-10-12,55.1026
AED,2021-10-11,55.1033
AED,2021-10-08,55.2605
AED,2021-10-07,54.4587
AED,2021-10-06,54.4655
AED,2021-10-05,54.4492
